ko	name	description	module_id	module	pathway_id	pathway	class
K00844	HK	hexokinase [EC:2.7.1.1]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K12407	HK	hexokinase [EC:2.7.1.1]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00845	HK	hexokinase [EC:2.7.1.1]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00844	ppgK	polyphosphate glucokinase [EC:2.7.1.63]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K12407	ppgK	polyphosphate glucokinase [EC:2.7.1.63]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00845	ppgK	polyphosphate glucokinase [EC:2.7.1.63]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K08074	ADPGK	ADP-dependent glucokinase [EC:2.7.1.147]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00918	ADPGK	ADP-dependent glucokinase [EC:2.7.1.147]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01810	GPI, pgi	glucose-6-phosphate isomerase [EC:5.3.1.9]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K06859	GPI, pgi	glucose-6-phosphate isomerase [EC:5.3.1.9]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K13810	GPI, pgi	glucose-6-phosphate isomerase [EC:5.3.1.9]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K15916	GPI, pgi	glucose-6-phosphate isomerase [EC:5.3.1.9]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00850	pfkA, PFK	6-phosphofructokinase 1 [EC:2.7.1.11]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K16370	pfkA, PFK	6-phosphofructokinase 1 [EC:2.7.1.11]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K21071	pfkA, PFK	6-phosphofructokinase 1 [EC:2.7.1.11]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00850	pfkC	ADP-dependent phosphofructokinase/glucokinase [EC:2.7.1.146 2.7.1.147]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K16370	pfkC	ADP-dependent phosphofructokinase/glucokinase [EC:2.7.1.146 2.7.1.147]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K21071	pfkC	ADP-dependent phosphofructokinase/glucokinase [EC:2.7.1.146 2.7.1.147]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01623	ALDO	fructose-bisphosphate aldolase, class I [EC:4.1.2.13]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01624	ALDO	fructose-bisphosphate aldolase, class I [EC:4.1.2.13]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K11645	ALDO	fructose-bisphosphate aldolase, class I [EC:4.1.2.13]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	ko00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
