ko	ko name	ko des	module	module name	map	map name	map class
K00844	HK	hexokinase/glucokinase [EC:2.7.1.1 2.7.1.2] [RN:R01786]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K12407	GCK	hexokinase/glucokinase [EC:2.7.1.1 2.7.1.2] [RN:R01786]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00845	glk	hexokinase/glucokinase [EC:2.7.1.1 2.7.1.2] [RN:R01786]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00886	ppgK	polyphosphate glucokinase [EC:2.7.1.63] [RN:R02189]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K08074	ADPGK	ADP-dependent glucokinase [EC:2.7.1.147] [RN:R09085]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00918	pfkC	ADP-dependent glucokinase [EC:2.7.1.147] [RN:R09085]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K01810	GPI, pgi	glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K06859	pgi1	glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K13810	tal-pgi	glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K15916	pgi-pmi	glucose-6-phosphate isomerase [EC:5.3.1.9] [RN:R02740]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K00850	pfkA, PFK	6-phosphofructokinase [EC:2.7.1.11] [RN:R04779]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
K16370	pfkB	6-phosphofructokinase [EC:2.7.1.11] [RN:R04779]	M00001	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate [PATH:map00010]	path:map00010	Glycolysis / Gluconeogenesis	Metabolism; Carbohydrate metabolism
